id,menu
1701446020-67,mie gacoan lv 2
1701446020-67,udang rambutan
1701446020-67,udang keju
1701446020-67,siomay
1701446020-68,thai green tea
1701446020-68,mie hompimpa lv 8
1701446020-68,mie hompimpa lv 2
1701446020-68,udang keju
1701446020-69,gacoan fest a
1701446020-70,mie gacoan lv 1
1701446020-70,mie gacoan lv 2
1701446020-70,mie gacoan lv 3
1701446020-71,mie gacoan lv 3
1701446020-71,mie gacoan lv 2
1701446020-71,lumpia udang
1701446020-71,udang rambutan
1701446020-72,mie gacoan lv 0
1701446020-72,udang rambutan
1701446020-73,mie suit
1701446020-73,mie hompimpa lv 2
1701446020-73,teh tarik
1701446020-74,mie gacoan lv 3
1701446020-75,mie gacoan lv 1
1701446020-75,mie gacoan lv 2
1701446020-75,udang rambutan
1701446020-76,mie gacoan lv 1
1701446020-76,udang keju
1701446020-77,mie gacoan lv 1
1701446020-77,mie gacoan lv 2
1701446020-78,mie hompimpa lv 2
1701446020-78,siomay
1701446020-78,es gobak sodor
1701446020-79,mie gacoan lv 0
1701446020-79,mie gacoan lv 2
1701446020-80,mie gacoan lv 1
1701446020-80,udang keju
1701446020-80,teh tarik
1701446020-81,mie gacoan lv 1
1701446020-81,mie hompimpa lv 3
1701446020-81,teh tarik
1701446020-81,mie hompimpa lv 6
1701446020-82,mie hompimpa lv 4
1701446020-82,mie gacoan lv 1
1701446020-82,udang keju
1701446020-83,mie gacoan lv 1
1701446020-83,udang rambutan
1701446020-84,mie gacoan lv 8
1701446020-84,mie gacoan lv 3
1701446020-84,udang rambutan
1701446020-84,udang keju
1701446020-85,mie gacoan lv 1
1701446020-85,udang keju
1701446020-85,siomay
1701446020-86,mie gacoan lv 1
1701446020-86,udang keju
1701446020-86,lemon tea
1701446020-87,udang keju
1701446020-87,mie gacoan lv 2
1701446020-87,lumpia udang
1701446020-87,mie gacoan lv 3
1701446020-88,mie hompimpa lv 3
1701446020-88,mie gacoan lv 4
1701446020-89,mie gacoan lv 1
1701446020-89,udang rambutan
1701446020-90,siomay
1701446020-90,mie gacoan lv 1
1701446020-91,mie gacoan lv 1
1701446020-92,mie gacoan lv 0
1701446020-92,mie gacoan lv 1
1701446020-92,udang keju
1701446020-92,udang rambutan
1701446020-93,mie gacoan lv 0
1701446020-93,mie gacoan lv 2
1701446020-93,siomay
1701446020-93,lumpia udang
1701446020-94,udang keju
1701446020-94,mie gacoan lv 1
1701446020-94,siomay
1701446020-95,mie gacoan lv 1
1701446020-95,mie gacoan lv 2
1701446020-96,mie gacoan lv 1
1701446020-96,siomay
1701446020-97,mie suit
1701446020-97,mie gacoan lv 1
1701446020-97,udang keju
1701446020-98,mie gacoan lv 1
1701446020-98,mie suit
1701446020-98,udang keju
1701446020-99,mie gacoan lv 4
1701446020-99,teh
1701446020-100,mie gacoan lv 4
1701446020-100,mie gacoan lv 6
1701446020-101,mie gacoan lv 4
1701446020-101,teh
1701446020-102,mie gacoan lv 2
1701446020-102,mie hompimpa lv 4
1701446020-103,mie gacoan lv 2
1701446020-103,mie gacoan lv 1
1701446020-104,mie gacoan lv 2
1701446020-104,lumpia udang
1701446020-105,mie gacoan lv 2
1701446020-105,udang keju
1701446020-105,siomay
1701446020-105,lumpia udang
1701446020-105,mie gacoan lv 1
1701446020-106,mie gacoan lv 2
1701446020-106,mie hompimpa lv 4
1701446020-107,mega diskon paket gacoan b
1701446020-107,lumpia udang
1701446020-107,siomay
1701446020-108,mie gacoan lv 3
1701446020-108,mie gacoan lv 1
1701446020-108,lumpia udang
1701446020-108,udang keju
1701446020-109,udang keju
1701446020-109,mie gacoan lv 0
1701446020-109,mie gacoan lv 2
1701446020-109,teh
1701446020-110,mie gacoan lv 2
1701446020-110,mie gacoan lv 4
1701446020-110,mie gacoan lv 8
1701446020-110,mie gacoan lv 1
1701446020-110,mie gacoan lv 3
1701446020-111,mie gacoan lv 2
1701446020-111,mie gacoan lv 1
1701446020-112,mie gacoan lv 0
1701446020-112,mie gacoan lv 1
1701446020-113,mie gacoan lv 0
1701446020-113,mie gacoan lv 2
1701446020-113,siomay
1701446020-114,mie gacoan lv 2
1701446020-114,udang rambutan
1701446020-114,pangsit
1701446020-114,teh
1701446020-114,mie hompimpa lv 3
1701446020-115,mie gacoan lv 3
1701446020-116,mie gacoan lv 1
1701446020-116,mie gacoan lv 6
1701446020-116,mie hompimpa lv 6
1701446020-117,mie hompimpa lv 3
1701446020-117,udang rambutan
1701446020-117,udang keju
1701446020-118,mie hompimpa lv 1
1701446020-118,mie hompimpa lv 2
1701446020-118,es gobak sodor
1701446020-118,milo
1701446020-119,mie gacoan lv 2
1701446020-119,udang rambutan
1701446020-119,lumpia udang
1701446020-119,es gobak sodor
1701446020-120,mie gacoan lv 2
1701446020-120,udang keju
1701446020-121,mie gacoan lv 1
1701446020-121,siomay
1701446020-121,udang keju
1701446020-122,mie gacoan lv 0
1701446020-122,udang keju
1701446020-123,mie hompimpa lv 2
1701446020-123,siomay
1701446020-123,es teklek
1701446020-124,mie gacoan lv 0
1701446020-124,mie gacoan lv 1
1701446020-124,udang rambutan
1701446020-124,lumpia udang
1701446020-125,mie gacoan lv 1
1701446020-125,udang rambutan
1701446020-126,mie hompimpa lv 3
1701446020-126,mie hompimpa lv 1
1701446020-127,mie gacoan lv 2
1701446020-127,thai tea ori
1701446020-128,mie gacoan lv 3
1701446020-128,udang keju
1701446020-128,lemon tea
1701446020-129,mie hompimpa lv 4
1701446020-129,udang rambutan
1701446020-130,mie gacoan lv 4
1701446020-130,mie gacoan lv 1
1701446020-130,mie gacoan lv 2
1701446020-130,teh
1701446020-131,mie gacoan lv 1
1701446020-131,mie gacoan lv 0
1701446020-131,mie gacoan lv 4
1701446020-131,teh
1701446020-132,mie gacoan lv 0
1701446020-132,mie gacoan lv 2
1701446020-132,udang rambutan
1701446020-132,udang keju
1701446020-132,es gobak sodor
1701446020-132,es teklek
1701446020-133,mie gacoan lv 1
1701446020-134,mie hompimpa lv 1
1701446020-134,mie hompimpa lv 3
1701446020-134,siomay
1701446020-134,udang rambutan
1701446020-134,udang keju
1701446020-134,es gobak sodor
1701446020-134,mie gacoan lv 2
1701446020-134,mie gacoan lv 1
1701446020-135,mie gacoan lv 0
1701446020-135,mie gacoan lv 3
1701446020-135,udang keju
1701446020-135,siomay
1701446020-136,mie gacoan lv 6
1701446020-136,udang rambutan
